,(년-월-일:시),PM10등급,PM10,PM2.5등급,PM2.5,오존등급,오존,이산화질소등급,이산화질소,일산화탄소등급,일산화탄소,아황산가스등급,아황산가스
206,2021-05-07:01,보통,68.0,보통,19.0,좋음,0.023,보통,0.041,좋음,0.4,좋음,0.002
207,2021-05-06:24,보통,66.0,보통,18.0,좋음,0.021,보통,0.048,좋음,0.5,좋음,0.003
208,2021-05-06:23,보통,65.0,보통,20.0,좋음,0.022,보통,0.05,좋음,0.5,좋음,0.004
209,2021-05-06:22,보통,56.0,보통,17.0,보통,0.041,좋음,0.029,좋음,0.5,좋음,0.004
210,2021-05-06:21,보통,59.0,보통,19.0,보통,0.048,좋음,0.027,좋음,0.4,좋음,0.003
211,2021-05-06:20,보통,65.0,보통,20.0,보통,0.052,좋음,0.027,좋음,0.5,좋음,0.003
212,2021-05-06:19,보통,65.0,보통,19.0,보통,0.056,좋음,0.025,좋음,0.4,좋음,0.003
213,2021-05-06:18,보통,64.0,보통,19.0,보통,0.06,좋음,0.022,좋음,0.4,좋음,0.003
214,2021-05-06:17,나쁨,87.0,보통,27.0,보통,0.072,좋음,0.017,좋음,0.4,좋음,0.003
215,2021-05-06:16,나쁨,97.0,보통,32.0,보통,0.073,좋음,0.021,좋음,0.5,좋음,0.004
216,2021-05-06:15,나쁨,97.0,보통,33.0,보통,0.071,좋음,0.021,좋음,0.5,좋음,0.003
217,2021-05-06:14,나쁨,84.0,보통,25.0,보통,0.058,좋음,0.026,좋음,0.5,좋음,0.004
218,2021-05-06:13,보통,80.0,보통,20.0,보통,0.046,좋음,0.028,좋음,0.4,좋음,0.003
219,2021-05-06:12,보통,72.0,보통,16.0,보통,0.031,보통,0.032,좋음,0.4,좋음,0.003
220,2021-05-06:11,보통,79.0,좋음,15.0,좋음,0.023,보통,0.034,좋음,0.5,좋음,0.003
221,2021-05-06:10,나쁨,86.0,좋음,12.0,좋음,0.019,보통,0.038,좋음,0.5,좋음,0.003
222,2021-05-06:09,나쁨,87.0,좋음,15.0,좋음,0.012,보통,0.043,좋음,0.6,좋음,0.004
223,2021-05-06:08,보통,74.0,좋음,15.0,좋음,0.012,보통,0.04,좋음,0.5,좋음,0.003
224,2021-05-06:07,보통,68.0,보통,16.0,좋음,0.007,보통,0.041,좋음,0.5,좋음,0.003
225,2021-05-06:06,보통,67.0,보통,16.0,좋음,0.009,보통,0.037,좋음,0.5,좋음,0.002
226,2021-05-06:05,보통,70.0,보통,17.0,좋음,0.012,보통,0.034,좋음,0.5,좋음,0.003
227,2021-05-06:04,보통,68.0,보통,16.0,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
228,2021-05-06:03,보통,72.0,보통,17.0,좋음,0.018,좋음,0.027,좋음,0.4,좋음,0.003
229,2021-05-06:02,보통,66.0,보통,16.0,좋음,0.019,좋음,0.028,좋음,0.4,좋음,0.003
230,2021-05-06:01,보통,73.0,보통,18.0,좋음,0.015,보통,0.035,좋음,0.4,좋음,0.002
231,2021-05-05:24,보통,78.0,보통,17.0,좋음,0.022,보통,0.033,좋음,0.4,좋음,0.002
232,2021-05-05:23,나쁨,84.0,보통,18.0,보통,0.039,좋음,0.021,좋음,0.4,좋음,0.002
233,2021-05-05:22,보통,78.0,보통,16.0,보통,0.04,좋음,0.02,좋음,0.4,좋음,0.003
234,2021-05-05:21,보통,79.0,보통,17.0,보통,0.042,좋음,0.019,좋음,0.4,좋음,0.003
235,2021-05-05:20,보통,80.0,보통,16.0,보통,0.04,좋음,0.02,좋음,0.4,좋음,0.002
236,2021-05-05:19,보통,69.0,보통,16.0,보통,0.039,좋음,0.016,좋음,0.3,좋음,0.002
237,2021-05-05:18,보통,63.0,좋음,13.0,보통,0.038,좋음,0.014,좋음,0.3,좋음,0.002
238,2021-05-05:17,보통,69.0,좋음,13.0,보통,0.037,좋음,0.013,좋음,0.3,좋음,0.003
239,2021-05-05:16,보통,68.0,좋음,11.0,보통,0.043,좋음,0.011,좋음,0.3,좋음,0.003
240,2021-05-05:15,보통,52.0,좋음,11.0,보통,0.045,좋음,0.008,좋음,0.3,좋음,0.003
241,2021-05-05:14,보통,49.0,좋음,15.0,보통,0.05,좋음,0.009,좋음,0.4,좋음,0.002
242,2021-05-05:13,보통,55.0,보통,16.0,보통,0.049,좋음,0.009,좋음,0.4,좋음,0.002
243,2021-05-05:12,보통,55.0,보통,16.0,보통,0.046,좋음,0.009,좋음,0.4,좋음,0.003
244,2021-05-05:11,보통,51.0,보통,17.0,보통,0.042,좋음,0.013,좋음,0.4,좋음,0.003
245,2021-05-05:10,좋음,26.0,좋음,10.0,보통,0.036,좋음,0.015,좋음,0.4,좋음,0.003
246,2021-05-05:09,좋음,18.0,좋음,10.0,좋음,0.03,좋음,0.019,좋음,0.4,좋음,0.002
247,2021-05-05:08,좋음,15.0,좋음,8.0,좋음,0.029,좋음,0.017,좋음,0.4,좋음,0.002
248,2021-05-05:07,좋음,16.0,좋음,8.0,좋음,0.023,좋음,0.022,좋음,0.4,좋음,0.002
249,2021-05-05:06,좋음,13.0,좋음,7.0,좋음,0.03,좋음,0.011,좋음,0.4,좋음,0.002
250,2021-05-05:05,좋음,14.0,좋음,7.0,보통,0.033,좋음,0.006,좋음,0.4,좋음,0.002
251,2021-05-05:04,좋음,11.0,좋음,6.0,보통,0.034,좋음,0.005,좋음,0.4,좋음,0.002
252,2021-05-05:03,좋음,17.0,좋음,9.0,보통,0.036,좋음,0.005,좋음,0.3,좋음,0.002
253,2021-05-05:02,보통,41.0,좋음,13.0,보통,0.034,좋음,0.007,좋음,0.3,좋음,0.002
254,2021-05-05:01,좋음,29.0,좋음,8.0,보통,0.037,좋음,0.007,좋음,0.3,좋음,0.002
255,2021-05-04:24,좋음,8.0,좋음,4.0,보통,0.031,좋음,0.01,좋음,0.4,좋음,0.003
256,2021-05-04:23,좋음,9.0,좋음,3.0,좋음,0.022,좋음,0.016,좋음,0.4,좋음,0.002
257,2021-05-04:22,보통,39.0,보통,25.0,좋음,0.008,보통,0.038,좋음,0.6,좋음,0.003
258,2021-05-04:21,보통,65.0,나쁨,42.0,좋음,0.002,보통,0.052,좋음,0.8,좋음,0.003
259,2021-05-04:20,보통,62.0,나쁨,42.0,좋음,0.003,보통,0.057,좋음,1.0,좋음,0.004
260,2021-05-04:19,보통,49.0,보통,31.0,좋음,0.003,보통,0.054,좋음,0.8,좋음,0.003
261,2021-05-04:18,보통,52.0,보통,27.0,좋음,0.004,보통,0.051,좋음,0.7,좋음,0.003
262,2021-05-04:17,보통,59.0,보통,26.0,좋음,0.006,보통,0.05,좋음,0.6,좋음,0.003
263,2021-05-04:16,보통,52.0,보통,28.0,좋음,0.006,보통,0.051,좋음,0.6,좋음,0.003
264,2021-05-04:15,보통,46.0,보통,28.0,좋음,0.008,보통,0.049,좋음,0.6,좋음,0.003
265,2021-05-04:14,보통,39.0,보통,23.0,좋음,0.011,보통,0.049,좋음,0.6,좋음,0.003
266,2021-05-04:13,보통,40.0,보통,24.0,좋음,0.013,보통,0.045,좋음,0.6,좋음,0.003
267,2021-05-04:12,보통,33.0,보통,19.0,좋음,0.011,보통,0.046,좋음,0.6,좋음,0.003
268,2021-05-04:11,보통,39.0,보통,21.0,좋음,0.008,보통,0.05,좋음,0.6,좋음,0.002
269,2021-05-04:10,보통,34.0,보통,17.0,좋음,0.007,보통,0.05,좋음,0.5,좋음,0.003
270,2021-05-04:09,좋음,30.0,좋음,15.0,좋음,0.006,보통,0.052,좋음,0.6,좋음,0.003
271,2021-05-04:08,좋음,24.0,좋음,13.0,좋음,0.01,보통,0.046,좋음,0.5,좋음,0.003
272,2021-05-04:07,좋음,23.0,보통,17.0,좋음,0.015,보통,0.037,좋음,0.5,좋음,0.003
273,2021-05-04:06,좋음,26.0,좋음,15.0,좋음,0.013,보통,0.037,좋음,0.4,좋음,0.003
274,2021-05-04:05,좋음,26.0,좋음,14.0,좋음,0.013,보통,0.036,좋음,0.5,좋음,0.003
275,2021-05-04:04,좋음,19.0,좋음,11.0,좋음,0.017,보통,0.033,좋음,0.5,좋음,0.003
276,2021-05-04:03,좋음,19.0,좋음,11.0,좋음,0.024,좋음,0.026,좋음,0.4,좋음,0.003
277,2021-05-04:02,좋음,18.0,좋음,10.0,좋음,0.025,좋음,0.028,좋음,0.4,좋음,0.003
278,2021-05-04:01,좋음,22.0,좋음,12.0,보통,0.031,좋음,0.026,좋음,0.4,좋음,0.004
279,2021-05-03:24,보통,31.0,보통,17.0,좋음,0.028,보통,0.033,좋음,0.4,좋음,0.003
280,2021-05-03:23,보통,35.0,보통,18.0,보통,0.031,보통,0.032,좋음,0.4,좋음,0.003
281,2021-05-03:22,보통,31.0,보통,17.0,보통,0.032,보통,0.032,좋음,0.4,좋음,0.004
282,2021-05-03:21,보통,32.0,좋음,15.0,보통,0.032,보통,0.035,좋음,0.4,좋음,0.003
283,2021-05-03:20,좋음,28.0,좋음,14.0,보통,0.039,좋음,0.03,좋음,0.4,좋음,0.002
284,2021-05-03:19,보통,31.0,보통,18.0,보통,0.046,좋음,0.023,좋음,0.4,좋음,0.003
285,2021-05-03:18,보통,32.0,보통,18.0,보통,0.055,좋음,0.021,좋음,0.3,좋음,0.004
286,2021-05-03:17,보통,34.0,보통,18.0,보통,0.06,좋음,0.019,좋음,0.3,좋음,0.004
287,2021-05-03:16,보통,63.0,보통,17.0,보통,0.065,좋음,0.021,좋음,0.3,좋음,0.004
288,2021-05-03:15,보통,50.0,보통,19.0,보통,0.058,좋음,0.017,좋음,0.4,좋음,0.003
289,2021-05-03:14,보통,38.0,보통,21.0,보통,0.059,좋음,0.016,좋음,0.4,좋음,0.003
290,2021-05-03:13,보통,42.0,보통,23.0,보통,0.052,좋음,0.019,좋음,0.4,좋음,0.003
291,2021-05-03:12,보통,42.0,보통,22.0,보통,0.042,좋음,0.023,좋음,0.4,좋음,0.003
292,2021-05-03:11,보통,50.0,보통,26.0,보통,0.035,보통,0.031,좋음,0.5,좋음,0.002
293,2021-05-03:10,보통,46.0,보통,23.0,좋음,0.03,보통,0.036,좋음,0.5,좋음,0.003
294,2021-05-03:09,보통,46.0,보통,25.0,좋음,0.024,보통,0.037,좋음,0.5,좋음,0.003
295,2021-05-03:08,보통,38.0,보통,22.0,좋음,0.019,보통,0.035,좋음,0.5,좋음,0.002
296,2021-05-03:07,보통,36.0,보통,22.0,좋음,0.028,좋음,0.023,좋음,0.4,좋음,0.002
297,2021-05-03:06,보통,35.0,보통,21.0,보통,0.031,좋음,0.017,좋음,0.4,좋음,0.003
298,2021-05-03:05,보통,38.0,보통,24.0,보통,0.032,좋음,0.016,좋음,0.4,좋음,0.002
299,2021-05-03:04,보통,34.0,보통,20.0,좋음,0.021,좋음,0.023,좋음,0.4,좋음,0.002
300,2021-05-03:03,보통,37.0,보통,23.0,좋음,0.026,좋음,0.019,좋음,0.4,좋음,0.002
301,2021-05-03:02,보통,34.0,보통,20.0,보통,0.031,좋음,0.018,좋음,0.4,좋음,0.002
302,2021-05-03:01,좋음,30.0,보통,17.0,보통,0.031,좋음,0.019,좋음,0.4,좋음,0.002
303,2021-05-02:24,좋음,25.0,좋음,13.0,좋음,0.03,좋음,0.023,좋음,0.4,좋음,0.003
304,2021-05-02:23,좋음,28.0,좋음,13.0,보통,0.031,좋음,0.024,좋음,0.4,좋음,0.002
305,2021-05-02:22,좋음,28.0,좋음,14.0,보통,0.031,좋음,0.024,좋음,0.4,좋음,0.002
306,2021-05-02:21,좋음,25.0,좋음,13.0,보통,0.035,좋음,0.021,좋음,0.4,좋음,0.003
307,2021-05-02:20,좋음,23.0,좋음,11.0,보통,0.04,좋음,0.017,좋음,0.3,좋음,0.002
308,2021-05-02:19,좋음,22.0,좋음,11.0,보통,0.044,좋음,0.013,좋음,0.3,좋음,0.002
309,2021-05-02:18,좋음,23.0,좋음,11.0,보통,0.048,좋음,0.008,좋음,0.3,좋음,0.002
310,2021-05-02:17,좋음,28.0,좋음,13.0,보통,0.049,좋음,0.009,좋음,0.3,좋음,0.002
311,2021-05-02:16,좋음,25.0,좋음,10.0,보통,0.05,좋음,0.007,좋음,0.3,좋음,0.002
312,2021-05-02:15,좋음,22.0,좋음,9.0,보통,0.05,좋음,0.007,좋음,0.3,좋음,0.002
313,2021-05-02:14,좋음,22.0,좋음,9.0,보통,0.05,좋음,0.006,좋음,0.3,좋음,0.002
314,2021-05-02:13,좋음,23.0,좋음,9.0,보통,0.048,좋음,0.007,좋음,0.3,좋음,0.002
315,2021-05-02:12,좋음,19.0,좋음,7.0,보통,0.045,좋음,0.007,좋음,0.3,좋음,0.002
316,2021-05-02:11,좋음,20.0,좋음,9.0,보통,0.042,좋음,0.007,좋음,0.3,좋음,0.002
317,2021-05-02:10,좋음,7.0,좋음,1.0,보통,0.037,좋음,0.009,좋음,0.3,좋음,0.002
318,2021-05-02:09,좋음,6.0,좋음,4.0,보통,0.035,좋음,0.01,좋음,0.3,좋음,0.002
319,2021-05-02:08,좋음,4.0,좋음,2.0,보통,0.033,좋음,0.011,좋음,0.3,좋음,0.002
320,2021-05-02:07,좋음,6.0,좋음,2.0,보통,0.034,좋음,0.009,좋음,0.3,좋음,0.002
321,2021-05-02:06,좋음,4.0,좋음,3.0,보통,0.039,좋음,0.006,좋음,0.3,좋음,0.002
322,2021-05-02:05,좋음,6.0,좋음,4.0,보통,0.04,좋음,0.005,좋음,0.3,좋음,0.002
323,2021-05-02:04,좋음,3.0,좋음,3.0,보통,0.04,좋음,0.005,좋음,0.3,좋음,0.002
324,2021-05-02:03,좋음,5.0,좋음,2.0,보통,0.04,좋음,0.005,좋음,0.3,좋음,0.002
325,2021-05-02:02,좋음,3.0,좋음,2.0,보통,0.039,좋음,0.006,좋음,0.3,좋음,0.002
326,2021-05-02:01,좋음,6.0,좋음,4.0,보통,0.041,좋음,0.007,좋음,0.3,좋음,0.002
327,2021-05-01:24,좋음,5.0,좋음,3.0,보통,0.035,좋음,0.009,좋음,0.3,좋음,0.002
328,2021-05-01:23,좋음,10.0,좋음,6.0,보통,0.033,좋음,0.011,좋음,0.4,좋음,0.002
329,2021-05-01:22,좋음,11.0,좋음,7.0,보통,0.032,좋음,0.013,좋음,0.4,좋음,0.002
330,2021-05-01:21,좋음,14.0,좋음,6.0,보통,0.035,좋음,0.01,좋음,0.3,좋음,0.002
331,2021-05-01:20,좋음,12.0,좋음,6.0,보통,0.037,좋음,0.011,좋음,0.3,좋음,0.002
332,2021-05-01:19,좋음,16.0,좋음,5.0,보통,0.037,좋음,0.011,좋음,0.3,좋음,0.002
333,2021-05-01:18,좋음,11.0,좋음,5.0,보통,0.04,좋음,0.009,좋음,0.3,좋음,0.002
334,2021-05-01:17,좋음,15.0,좋음,8.0,보통,0.04,좋음,0.01,좋음,0.4,좋음,0.002
335,2021-05-01:16,좋음,19.0,좋음,11.0,보통,0.041,좋음,0.01,좋음,0.3,좋음,0.002
336,2021-05-01:15,보통,39.0,보통,17.0,보통,0.044,좋음,0.011,좋음,0.3,좋음,0.002
337,2021-05-01:14,보통,34.0,좋음,14.0,보통,0.048,좋음,0.008,좋음,0.3,좋음,0.002
338,2021-05-01:13,보통,32.0,좋음,14.0,보통,0.045,좋음,0.01,좋음,0.3,좋음,0.002
339,2021-05-01:12,좋음,29.0,좋음,9.0,보통,0.043,좋음,0.009,좋음,0.3,좋음,0.003
340,2021-05-01:11,,,,,,,,,,,,
341,2021-05-01:10,좋음,23.0,좋음,11.0,보통,0.038,좋음,0.011,좋음,0.3,좋음,0.003
342,2021-05-01:09,좋음,29.0,보통,16.0,보통,0.034,좋음,0.014,좋음,0.4,좋음,0.002
343,2021-05-01:08,보통,32.0,보통,17.0,보통,0.032,좋음,0.013,좋음,0.4,좋음,0.002
344,2021-05-01:07,보통,41.0,보통,22.0,좋음,0.027,좋음,0.016,좋음,0.4,좋음,0.002
345,2021-05-01:06,보통,45.0,보통,27.0,좋음,0.027,좋음,0.016,좋음,0.4,좋음,0.003
346,2021-05-01:05,보통,52.0,보통,33.0,좋음,0.027,좋음,0.017,좋음,0.5,좋음,0.003
347,2021-05-01:04,보통,47.0,보통,28.0,보통,0.032,좋음,0.015,좋음,0.6,좋음,0.004
348,2021-05-01:03,보통,37.0,보통,21.0,보통,0.037,좋음,0.014,좋음,0.5,좋음,0.003
349,2021-05-01:02,보통,34.0,보통,17.0,좋음,0.03,좋음,0.023,좋음,0.5,좋음,0.002
350,2021-05-01:01,보통,35.0,보통,16.0,보통,0.035,좋음,0.019,좋음,0.4,좋음,0.002
351,2021-04-30:24,보통,31.0,좋음,14.0,보통,0.038,좋음,0.018,좋음,0.4,좋음,0.003
352,2021-04-30:23,보통,39.0,보통,20.0,보통,0.034,좋음,0.025,좋음,0.4,좋음,0.002
353,2021-04-30:22,보통,78.0,보통,33.0,보통,0.035,좋음,0.024,좋음,0.5,좋음,0.002
354,2021-04-30:21,나쁨,94.0,나쁨,40.0,보통,0.033,좋음,0.027,좋음,0.5,좋음,0.002
355,2021-04-30:20,나쁨,84.0,나쁨,38.0,보통,0.037,좋음,0.024,좋음,0.5,좋음,0.002
356,2021-04-30:19,나쁨,81.0,보통,34.0,보통,0.04,좋음,0.021,좋음,0.5,좋음,0.002
357,2021-04-30:18,보통,72.0,보통,28.0,보통,0.045,좋음,0.021,좋음,0.4,좋음,0.002
358,2021-04-30:17,보통,71.0,보통,28.0,보통,0.047,좋음,0.021,좋음,0.4,좋음,0.003
359,2021-04-30:16,보통,53.0,보통,23.0,보통,0.044,좋음,0.023,좋음,0.5,좋음,0.002
360,2021-04-30:15,보통,33.0,보통,17.0,보통,0.039,좋음,0.026,좋음,0.5,좋음,0.002
361,2021-04-30:14,좋음,12.0,좋음,6.0,보통,0.039,좋음,0.029,좋음,0.4,좋음,0.002
362,2021-04-30:13,,,,,,,,,,,,
363,2021-04-30:12,좋음,19.0,좋음,11.0,보통,0.036,좋음,0.028,좋음,0.4,좋음,0.002
364,2021-04-30:11,좋음,19.0,좋음,8.0,보통,0.038,좋음,0.023,좋음,0.4,좋음,0.002
365,2021-04-30:10,좋음,12.0,좋음,7.0,보통,0.035,좋음,0.025,좋음,0.4,좋음,0.002
366,2021-04-30:09,좋음,17.0,좋음,8.0,보통,0.039,좋음,0.02,좋음,0.4,좋음,0.003
367,2021-04-30:08,좋음,12.0,좋음,7.0,보통,0.043,좋음,0.016,좋음,0.4,좋음,0.002
368,2021-04-30:07,좋음,12.0,좋음,8.0,보통,0.048,좋음,0.012,좋음,0.3,좋음,0.002
369,2021-04-30:06,좋음,11.0,좋음,7.0,보통,0.051,좋음,0.009,좋음,0.3,좋음,0.002
370,2021-04-30:05,좋음,12.0,좋음,10.0,보통,0.054,좋음,0.008,좋음,0.3,좋음,0.002
371,2021-04-30:04,좋음,17.0,좋음,10.0,보통,0.054,좋음,0.006,좋음,0.3,좋음,0.002
372,2021-04-30:03,좋음,27.0,좋음,12.0,보통,0.054,좋음,0.006,좋음,0.3,좋음,0.002
373,2021-04-30:02,좋음,28.0,좋음,13.0,보통,0.047,좋음,0.01,좋음,0.3,좋음,0.002
374,2021-04-30:01,보통,39.0,보통,17.0,보통,0.046,좋음,0.012,좋음,0.3,좋음,0.002
375,2021-04-29:24,보통,51.0,보통,21.0,보통,0.046,좋음,0.016,좋음,0.4,좋음,0.002
376,2021-04-29:23,보통,76.0,보통,24.0,보통,0.045,좋음,0.022,좋음,0.4,좋음,0.003
377,2021-04-29:22,나쁨,84.0,보통,27.0,보통,0.042,좋음,0.029,좋음,0.4,좋음,0.003
378,2021-04-29:21,나쁨,92.0,보통,30.0,보통,0.043,보통,0.034,좋음,0.5,좋음,0.003
379,2021-04-29:20,나쁨,87.0,보통,26.0,보통,0.056,좋음,0.026,좋음,0.4,좋음,0.003
380,2021-04-29:19,나쁨,85.0,보통,29.0,보통,0.051,좋음,0.025,좋음,0.4,좋음,0.003
381,2021-04-29:18,나쁨,81.0,보통,24.0,보통,0.057,좋음,0.017,좋음,0.4,좋음,0.003
382,2021-04-29:17,나쁨,88.0,보통,26.0,보통,0.052,좋음,0.022,좋음,0.4,좋음,0.002
383,2021-04-29:16,나쁨,83.0,보통,21.0,보통,0.055,좋음,0.016,좋음,0.4,좋음,0.002
384,2021-04-29:15,나쁨,88.0,보통,23.0,보통,0.055,좋음,0.012,좋음,0.4,좋음,0.003
385,2021-04-29:14,나쁨,81.0,보통,21.0,보통,0.051,좋음,0.012,좋음,0.3,좋음,0.003
386,2021-04-29:13,나쁨,83.0,보통,19.0,보통,0.047,좋음,0.015,좋음,0.4,좋음,0.002
387,2021-04-29:12,나쁨,82.0,보통,19.0,보통,0.049,좋음,0.013,좋음,0.3,좋음,0.003
388,2021-04-29:11,보통,79.0,보통,20.0,보통,0.041,좋음,0.022,좋음,0.4,좋음,0.002
389,2021-04-29:10,보통,66.0,보통,20.0,좋음,0.018,보통,0.04,좋음,0.5,좋음,0.003
390,2021-04-29:09,보통,65.0,보통,19.0,좋음,0.005,보통,0.049,좋음,0.6,좋음,0.003
391,2021-04-29:08,보통,55.0,보통,19.0,좋음,0.007,보통,0.045,좋음,0.6,좋음,0.003
392,2021-04-29:07,보통,51.0,보통,19.0,좋음,0.005,보통,0.045,좋음,0.6,좋음,0.003
393,2021-04-29:06,보통,50.0,보통,19.0,좋음,0.005,보통,0.041,좋음,0.5,좋음,0.003
394,2021-04-29:05,보통,56.0,보통,19.0,좋음,0.004,보통,0.044,좋음,0.5,좋음,0.003
395,2021-04-29:04,보통,60.0,보통,21.0,좋음,0.004,보통,0.047,좋음,0.6,좋음,0.003
396,2021-04-29:03,보통,68.0,보통,25.0,좋음,0.005,보통,0.046,좋음,0.5,좋음,0.003
397,2021-04-29:02,보통,69.0,보통,23.0,좋음,0.008,보통,0.047,좋음,0.6,좋음,0.004
398,2021-04-29:01,보통,61.0,보통,23.0,좋음,0.004,보통,0.058,좋음,0.6,좋음,0.003
399,2021-04-28:24,보통,61.0,보통,23.0,좋음,0.003,나쁨,0.061,좋음,0.6,좋음,0.003
400,2021-04-28:23,보통,53.0,보통,20.0,좋음,0.005,보통,0.059,좋음,0.6,좋음,0.003
401,2021-04-28:22,보통,47.0,보통,19.0,좋음,0.003,보통,0.057,좋음,0.6,좋음,0.003
402,2021-04-28:21,보통,51.0,보통,20.0,좋음,0.009,보통,0.053,좋음,0.5,좋음,0.002
403,2021-04-28:20,보통,46.0,보통,16.0,좋음,0.027,보통,0.036,좋음,0.4,좋음,0.002
404,2021-04-28:19,보통,59.0,보통,18.0,보통,0.037,좋음,0.025,좋음,0.4,좋음,0.003
405,2021-04-28:18,보통,68.0,보통,20.0,보통,0.039,보통,0.031,좋음,0.4,좋음,0.002
406,2021-04-28:17,보통,73.0,보통,20.0,보통,0.043,좋음,0.026,좋음,0.5,좋음,0.004
407,2021-04-28:16,보통,75.0,보통,22.0,보통,0.044,좋음,0.024,좋음,0.5,좋음,0.004
408,2021-04-28:15,나쁨,85.0,보통,30.0,보통,0.044,좋음,0.028,좋음,0.5,좋음,0.003
409,2021-04-28:14,보통,80.0,보통,28.0,보통,0.047,좋음,0.023,좋음,0.5,좋음,0.003
410,2021-04-28:13,나쁨,88.0,나쁨,37.0,보통,0.042,좋음,0.025,좋음,0.6,좋음,0.003
411,2021-04-28:12,나쁨,88.0,보통,35.0,보통,0.032,좋음,0.029,좋음,0.6,좋음,0.003
412,2021-04-28:11,나쁨,97.0,나쁨,43.0,좋음,0.025,보통,0.032,좋음,0.6,좋음,0.002
413,2021-04-28:10,나쁨,92.0,나쁨,42.0,좋음,0.026,좋음,0.029,좋음,0.5,좋음,0.003
